N_boletim,data_hora_boletim,seq_veic,cod_categ,descricao_categoria,cod_especie,descricao_especie,cod_situacao,desc_situacao,tipo_socorro,desc_tipo_socorro
2022-012970667-001,26/03/2022 22:43,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,0,NÃO INFORMADO
2022-012970667-001,26/03/2022 22:43,4,4,ALUGUEL,13,CAMINHAO,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012970667-001,26/03/2022 22:43,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,0,NÃO INFORMADO
2022-012971492-001,26/03/2022 21:49,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012971492-001,26/03/2022 21:49,2,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012972970-001,26/03/2022 21:09,2,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012972970-001,26/03/2022 21:09,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012976021-001,26/03/2022 21:30,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012976021-001,26/03/2022 21:30,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012990746-001,27/03/2022 02:54,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012990746-001,27/03/2022 02:54,2,0,NAO INFORMADO,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012995463-001,27/03/2022 04:54,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-012995541-001,27/03/2022 03:27,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-012995541-001,27/03/2022 03:27,2,3,PARTICULAR,6,AUTOMOVEL,3,ESTACIONADO,6,NÃO SE APLICA
2022-013000120-002,27/03/2022 06:22,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,3,AMBULANCIA
2022-013013250-001,27/03/2022 09:59,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
